Label,text
0,ok. I am a gentleman and will treat you with dignity and respect.
0,At what time are you coming.
0,ALRITE
0,If i not meeting ü all rite then i'll go home lor. If ü dun feel like comin it's ok.
0,I'm also came to room.
0,You still at the game?
0,Should I head straight there or what
0,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate
0,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care
0,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.
0,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................
0,How come she can get it? Should b quite diff to guess rite...
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
0,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne."
0,"Cool, what time you think you can get here?"
0,Well its not like you actually called someone a punto. That woulda been worse.
0,Dont put your phone on silent mode ok
0," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! "
0,Yup i thk so until e shop closes lor.
0,Thank you. do you generally date the brothas?
0,Happy new year. Hope you are having a good semester
0,Wat time ü finish?
0,Hey are we going for the lo lesson or gym? 
0,Oh k k:)but he is not a big hitter.anyway good
0,Good morning pookie pie! Lol hope I didn't wake u up
0,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
0,I wil be there with in  &lt;#&gt;  minutes. Got any space
0,Nope... Think i will go for it on monday... Sorry i replied so late
0,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.
0,Watching tv now. I got new job :)
0,I walked an hour 2 c u! doesnt that show I care y wont u believe im serious?
0,I don't know but I'm raping dudes at poker
0,New car and house for my parents.:)i have only new job in hand:)
0,Quite lor. But dun tell him wait he get complacent...
0,I think steyn surely get one wicket:)
0,Up to ü... Ü wan come then come lor... But i din c any stripes skirt...
0,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
0,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
0,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not
0,"Come round, it's . "
0,K..k..i'm also fine:)when will you complete the course?
0,Really do hope the work doesnt get stressful. Have a gr8 day.
0,Prabha..i'm soryda..realy..frm heart i'm sory
0,happened here while you were adventuring
0,Hi.:)technical support.providing assistance to us customer through call and email:)
0,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
0,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... "
0,"Dear, will call Tmorrow.pls accomodate."
0,Ü still got lessons?  Ü in sch?
0,Yes watching footie but worried we're going to blow it - Phil Neville?
0,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
0,Please leave this topic..sorry for telling that..
0,Why don't you wait 'til at least wednesday to see if you get your .
0,I wont touch you with out your permission.
0,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone"""
0,I'm okay. Chasing the dream. What's good. What are you doing next.
0,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
0,In which place do you want da.
0,"Sorry, I'll call later"
0,Yeah I can still give you a ride
0,What happen dear. Why you silent. I am tensed
0,My friends use to call the same.
0,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X."
0,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?"
0,May b approve panalam...but it should have more posts..
0,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
0,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
0,"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho"
0,So how many days since then?
0,"Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But, its a miracle to Love a person who can't Love anyone except U... Gud nyt..."
0,Yup ok...
0,K. I will sent it again
0,Do you like shaking your booty on the dance floor?
0,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love
0,Friends that u can stay on fb chat with
0,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.
0,I notice you like looking in the shit mirror youre turning into a right freak
0,Now? I'm going out 4 dinner soon..
